"id","user_id","school_level_id","subject_id","title","description","is_public","parent_id","copied_not_modified","token","notified","uuid"
1,18,1,1,"History of China: Shag Dynasty","Paolo Negro (Arzignano, 16 aprile 1972) è un allenatore di calcio ed ex calciatore italiano. Dal 2012 è alla guida dello Zagarolo.","t",,"f","PvCBVNKpuCE-lKuhDLg6UA","f","2f2471f1-6480-485f-b554-8c0ed05027e2"
2,18,1,2,"The birth of the great empire","Cresce calcisticamente nel Brescia dove viene trasformato da attaccante in fluidificante[2] e nel 1990 passa al Bologna, con cui debutta in serie A il 28 ottobre 1990 in Genoa-Bologna 0-0 ed esordisce nelle coppe europee in Zagłębie Lubin-Bologna 0-1","t",,"f","GaZQInJLc3J6hOwAYJINrw","f","00a5663e-ed9d-49cd-9b2e-9b79cb58f651"
3,18,1,3,"Chain Reactions","Per dieci stagioni consecutive segna almeno una rete in campionato; in particolare nell'annata 1994-1995, la prima sotto la guida del tecnico boemo Zdenek Zeman in cui la Lazio conclude il campionato con il migliore attacco, Negro segna 4 reti","t",,"f","ole7z6gU2BDYXcokHWIz_w","f","acb6ca6e-8207-4bdb-a55e-43a395caa892"
4,18,1,1,"Cronologia presenze Nazionale","Paolo Negro (Arzignano, Italia, 16 de abril de 1972), fue un futbolista italiano, que se desempeñó como defensa y lateral en cualquier banda. Fue internacional con la selección de fútbol de Italia y disputó una Eurocopa","t",,"f","AIJcEoAlhCmCs5dTSniP3Q","f","91b0e2bf-2763-49ca-81a6-9102de944d8f"
5,18,1,2,"Negro Gol","Neqro A Seriyasında 1990-cı il oktyabrın 28-də, 18 yaşı olarkən debüt edib. O, Boloniya da çıxış edirdi. Rossoblu ilə yanaşı, Paolo Breşiya da da təcrübə yığıb. Oradan isə 1993-cü ildə Romanı fəth etməyə gedib. Müdafiəçini Latsio","t",,"f","h5Qx2SmwSR_Ol-3iUgkXDA","t","d35ecf94-e68e-4e7a-873b-5902c6cee61f"
6,18,1,3,"Voir Negro","Paolo Negro est un ancien footballeur italien, né le 16 avril 1972 à Arzignano. Il évoluait au poste de défenseur central ou défenseur latéral droit. Il a reçu 8 sélections en équipe d'Italie et a évolué pendant douze saisons à la Lazio, où il s'est construit un respectable","t",,"f","IXxqV_KFAf6jiiBC8PjcxA","f","f800d66d-d855-43f5-ade8-323fee1c9f59"
7,18,1,1,"Voi siete negri.","La parola negro definisce gli appartenenti a una razza pseudo-animale in parte simile all'uomo bianco. Le differenze da quest'ultimo sono note: i negri hanno notoriamente tre gambe.","t",,"f","suXu_OqdLdhnFbA71D3ing","f","ed19b432-b05c-418e-9ac4-d0f1d1894a17"
8,18,1,2,"Il calamaro più grande del mondo","Dieci metri di lunghezza per 450 chili di peso. Sono le dimensione del calamaro gigante pescato nei giorni scorsi al largo della Nuova Zelanda. Si tratta probabilmente dell'esemplare più grande mai pescato. ","t",,"f","TclOy0swl1S9jpB2flBauQ","t","1fda2b2e-5956-465f-89c3-e551a130a90c"
9,18,1,3,"Laberinto","No habrá nunca una puerta. Estás adentro - y el alcázar abarca el universo - y no tiene ni anverso ni reverso - ni externo muro ni secreto centro.","t",,"f","8E4KQkP7U7nMJyaRnBEyeg","f","6c63e9bb-79e8-40de-bcfe-581c61792f1a"
10,18,1,1,"Che significa vi ho purgato ancora?","in which he scored during the final minutes of the game and celebrated by flashing a T-shirt under his jersey, which read 'Vi ho purgato ancora' (""I've purged you guys again""), in reference to events at the previous derby against Lazio","t",,"f","uF8hGEQpWw-ksBM17rbdGg","f","1477bdfd-a22a-452a-97b6-1c8cacdd02b4"
